Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Long Island Electric Utility Servco LLC,175 East Old Country Road,,Hicksville,NY,11801,Nassau,1,5163916133,National Grid,Private,Nonspecific facility - permit,[30XP0119],Yes,625606,4513858,4.3 - Utilization of Digital Orthophoto Quads,Waste Oil (Other);Construction & Demolition Debris,Permit,1-2824-00171/02002,10/18/2019,10/17/2029,"175 East Old Country Road
Hicksville, NY 11801
(40.766219, -73.5124)"
Eversharp Recycling Inc,10A Morris Ave,,Glen Cove,NY,11542,Nassau,1,5169030406,Barbara Piliero,Private,C&D processing - registration,[30W47R],Yes,615021,4524176,,Wood (Brush/ Branches/ Trees/ Stumps);Concrete;Soil (Clean),Registration,30W47R,06/28/2010,,"10A Morris Ave
Glen Cove, NY 11542
(40.860133, -73.636237)"
Hilltop Auto Salvage Inc,4157 Boston Road,,Bronx,NY,10466,Bronx,2,7183240706,Hilltop Auto Salvage; Inc.,Private,VDF - large - registration,[03V50019],Yes,598891,4526878,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles,,03V50019,08/19/2020,08/18/2025,"4157 Boston Road
Bronx, NY 10466
(40.886776, -73.826284)"
T J Clement Construction Co Inc,Route 342,,Black River,NY,13612,Jefferson,6,,Clement Enterprises Inc,Private,C&D processing - registration,[23W01],Yes,435019,4873137,4.3 - Utilization of Digital Orthophoto Quads,Soil (Clean);Rock;Concrete;Asphalt,Registration,23W01,11/13/2008,,
Broome Recycling Co. Inc.,29 Broad Street,,Binghamton,NY,13904,Broome,7,6077243805,Elbert Adams,Private,RHRF - greater than 5 tpd - registration,[04R20012],Yes,426499,4664007,,Single Stream,Registration,04R20012,10/09/2019,10/09/2024,"29 Broad Street
Binghamton, NY 13904
(42.122488, -75.890086)"
Vernon (T) LCD LANDFILL,5650 Marble Road,Vernon Center,Vernon,NY,13477,Oneida,6,3157947778,Town of Vernon,Municipal,Landfill - land clearing debris,[33D13],Yes,457940,4763800,4.3 - Utilization of Digital Orthophoto Quads,,Registration,33D13,10/20/2009,,"5650 Marble Road
Vernon, NY 13477
(43.027434, -75.515427)"
Ben Weitsman of Jamestown,610 West 8th Street,,Jamestown,NY,14701,Chautauqua,9,7166645910,Ben Weitsman of Jamestown; LLC,Private,VDF - large - registration,[07V50032],Yes,148503,4669639,1 - No accuracy stated,End of Life Vehicles,Registration,07V50032,11/02/2018,11/02/2023,"610 West 8th Street
Jamestown, NY 14701
(42.099485, -79.250088)"
Half Hollow Nursery Inc.   (2120 Main Rd.),2120 Main Road,,Laurel,NY,11948-0536,Suffolk,1,,Sarah Rasweiler,Private,Composting - yard waste  - registration,[52Y59R],Yes,705240,4538173,1 - No accuracy stated,Yard Waste,Registration,52Y59R,01/17/2006,,"2120 Main Road
Laurel, NY 11948-0536
(40.969013, -72.561001)"
Ray's Salvage,15 Pasco Ave,,Queensbury,NY,12804,Warren,5,5187988902,Carol Perkins,Private,Scrap metal processor - registration,[57V30008],Yes,604714,4796393,,Scrap Metal - Non-ferrous,Registration,57V30008,03/13/2019,03/12/2024,"15 Pasco Ave
Queensbury, NY 12804
(43.314509, -73.710176)"
Williamson Services,12988 North Croghan Road,,Natural Bridge,NY,13665,Lewis,6,3156444000,Williamson Services LLC,Private,Transfer station - permit,[25T01],Yes,460526,4878981,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers,Permit,6-2324-00118/00002,05/31/2018,05/30/2023,"12988 North Croghan Road
Natural Bridge, NY 13665
(44.06436, -75.492086)"
Barefoot Septic & Sewer Inc,2920 Telephone Rd,,Caledonia,NY,14423,Livingston,8,5855384886,Scott Barefoot,Private,Land application - septage - registration,[26A40016],Yes,265727,4755200,4.2.1 - Utilization of GIS and Facility Mapping System,Septage,Registration,26A40016,09/11/2019,09/10/2024,"2920 Telephone Rd
Caledonia, NY 14423
(42.914483, -77.869882)"
Royal Waste Services Inc,187-40 Hollis Avenue,,Hollis,NY,11433,Queens,2,7185262623,Servico Realty Inc,Private,RHRF - registration,[41M85],Yes,603821,4507331,,Commingled Paper;Paper / Cardboard;Newspaper,Registration,41M85,,,"187-40 Hollis Avenue
Hollis, NY 11433
(40.710084, -73.770365)"
Canaseraga Transfer Station,89 Main Street,,Canaseraga,NY,14822,Allegany,9,5852689230,Allegany County DPW,County,Transfer facility - registration,[02T10015],Yes,271189,4704565,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial),Registration,02T10015,10/03/2019,10/03/2024,"89 Main Street
Canaseraga, NY 14822
(42.460583, -77.78348)"
Bushey's Auto Repair,4430 Rte 11,,Mooers Forks,NY,12959,Clinton,5,5185947388,Eugene E Bushey,Private,VDF - large - registration,[10V50001],Yes,599092,4974693,1.1 - Obtained from original submission and unverified process,End of Life Vehicles,Registration,10V50001,07/25/2019,07/25/2024,"4430 Rte 11
Mooers Forks, NY 12959
(44.917943, -73.743549)"
Triple T Auto Parts,1209 Balmer Road,,Youngstown,NY,14174,Niagara,9,7167453973,Timothy Haniszewski,Private,VDF - large - registration,[32V50007],Yes,175755,4794300,1 - No accuracy stated,End of Life Vehicles,Registration,32V50007,10/19/2018,10/19/2023,"1209 Balmer Road
Youngstown, NY 14174
(43.231068, -78.9915)"
Prevete Bros. dba Atlantic Recycling,97-30 Atlantic Avenue,,Ozone Park,NY,11416,Queens,2,7183227900,Prevete Bros Inc,,Vehicle Dismantling Facility,[7104233],Yes,597548,4504868,,,,,,,"97-30 Atlantic Avenue
Ozone Park, NY 11416
(40.689163, -73.84495)"
Hiram Hollow Regeneration Corp,100 Washburn Road,,Gansevoort,NY,12831,Saratoga,5,5187931098,Casella Waste Management Inc,Private,CDDHRF - permit,[46CP0014],Yes,605569,4784796,,,Permit,5-4156-00046/00002,03/12/2019,03/11/2029,"100 Washburn Road
Gansevoort, NY 12831
(43.200988, -73.701643)"
Upstone - Lewis Quarry,9198 Route 9,,Lewis,NY,12950,Essex,5,5188732275,Upstone Materials Inc,Private,C&D processing - registration,[16W01],Yes,615549,4907878,1 - No accuracy stated,,Registration,16W01,04/29/2009,,"9198 Route 9
Lewis, NY 12950
(44.316175, -73.549876)"
Rockland County SWMA Clarkstown Transfer Station,166 South Route 303,,West Nyack,NY,10994,Rockland,3,8453580759,Rockland County SWMA,County,Transfer facility - permit,[44T06],Yes,588207,4549112,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Asphalt;Concrete;White Goods;Metals (Ferrous & Non-Ferrous);Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste,Permit,3-3920-00152/00004,03/25/2015,03/24/2020,"166 South Route 303
West Nyack, NY 10994
(41.090115, -73.950296)"
Santoro C&D Processing Facility,1287 Pangburn Road,,Rotterdam,NY,12306,Schenectady,4,5188574927,GarySantoro,Private,RHRF - 5 tpd or less - registration,[47R12801],Yes,578753,4737044,,Concrete;Brick;Metal (Structural),Registration,47R12801,05/15/2019,05/15/2024,"1287 Pangburn Road
Rotterdam, NY 12306
(42.780353, -74.039772)"
New York Oil Recovery; Inc. -94 Huasman Street,94 - Hausman Street,,Brooklyn,NY,11222,Kings,2,7185995120,,,Used oil - permit,[24O0061],Yes,404334,735620,1 - No accuracy stated,,Permit,,,,"94 - Hausman Street
Brooklyn, NY 11222
(40.726995, -73.939014)"
Carrier Salvage & Recycling Inc,2440 Wetmore Road,,Branchport,NY,14418,Yates,8,3155646800,Shelley Carrier,,Scrap metal processor - registration,[62V30020],Yes,314091,4716951,1.1 - Obtained from original submission and unverified process,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,Registration,62V30020,10/22/2019,10/21/2024,"2440 Wetmore Road
Branchport, NY 14418
(42.583189, -77.264925)"
Union (T) TS & RHRF,627 Scarborough Drive,,Endwell,NY,13760,Broome,7,6077862952,Town of Union,Municipal,Transfer facility - registration,[04T10036],Yes,414967,4661670,4.1 - Address Matching,Construction & Demolition Debris;Corrugated Cardboard;Commingled Plastics;Waste Tires,Registration,04T10036,05/10/2018,05/10/2023,"627 Scarborough Drive
Endwell, NY 13760
(42.102561, -76.028548)"
J & J Auto Parts Inc.,1330 East Bay Avenue,,Bronx,NY,10474,Bronx,2,,J & J Auto Parts Inc.,,VDF - large - registration,[03V50008],Yes,594181,4518134,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles,,03V50008,01/08/2020,01/07/2025,"1330 East Bay Avenue
Bronx, NY 10474
(40.808974, -73.883413)"
Snyder Farm,8463 East Loop Road,,Port Byron,NY,13140,Cayuga,7,3157765356,Richard L Snyder,,Storage - recognizable food processing waste - registration,[06A50026],Yes,363513,4765779,4 - GIS Assisted,Food Scraps,Registration,06A50026,11/28/2018,05/03/2023,"8463 East Loop Road
Port Byron, NY 13140
(43.028173, -76.689079)"
Hope Solid Waste and Recyclables Collection Site,Route 30,,Hope,NY,12134,Hamilton,5,5189243400,Town of Hope,Municipal,Transfer station - registration,[21R02],Yes,561314,4794921,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),Registration,21R02,,,
Wilbert's Inc Webster,1272 Salt Road,,Webster,NY,14580,Monroe,8,5858721540,Ronald Wilbert,Private,VDF - large - registration,[28V51001],Yes,304935,4783989,,,Registration,28V51001,05/14/2018,05/13/2023,"1272 Salt Road
Webster, NY 14580
(43.187546, -77.400379)"
Ace Auto World Inc,95 Rector Street,,Staten Island,NY,10310,Richmond,2,7182734100,Ace Auto World Inc.,Private,VDF - large - registration,[43V50005],Yes,573797,4498490,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles,Registration,43V50005,09/30/2020,09/29/2025,"95 Rector Street
Staten Island, NY 10310
(40.634804, -74.128002)"
Waddingham Stock Area,26719 Waddingham Rd.,,Evans Mills,NY,13637,Jefferson,6,,Rusty VanTassel,Private,CDDHRF - concrete rock brick - registration,[23C10006],Yes,432688,4879616,4.1 - Address Matching,Concrete;Rock;Brick,Registration,23C10006,12/18/2018,12/17/2023,"26719 Waddingham Rd.
Evans Mills, NY 13637
(44.064893, -75.837978)"
Golden Age Cheese,1577 Mill St.,Hickey Farm and other parcels - Jasper(T) & Woodhull(T),Woodhull,NY,14898,Steuben,8,6074585365,Lawrence Hickey,Private,Land application - UFPW - registration,[51A30021],Yes,300710,4661067,4.2.1 - Utilization of GIS and Facility Mapping System,,Registration,51A30021,08/30/2019,08/29/2024,"1577 Mill St.
Woodhull, NY 14898
(42.07657, -77.409074)"
Mead Enterprises Inc,69 Button Road,,Halfmoon,NY,12188,Saratoga,5,5182352841,Ed Dalheim,Private,CDDHRF - concrete rock brick - registration,[46C10016],Yes,606021,4744155,,Brick;Rock;Concrete,Registration,46C10016,04/08/2019,04/07/2024,"69 Button Road
Halfmoon, NY 12188
(42.844631, -73.702879)"
LaMela Sanitation Service Inc,1118 Route 9W,,Marlboro,NY,12542,Ulster,3,8452364222,LaMela Sanitation Service; Inc,Private,C&D processing - permit,[56T15],Yes,585292,4605223,,Concrete;Wood (Brush/ Branches/ Trees/ Stumps);Metals (Ferrous);Metals (Non-Ferrous);Construction & Demolition Debris;Paper / Cardboard;Waste Tires;Plastics,Permit,3-5136-00007/00002,01/14/2013,02/07/2018,"1118 Route 9W
Marlboro, NY 12542
(41.595506, -73.976155)"
Minerva LCD Lf,County Route 37,,Minerva,NY,12851,Essex,5,5182512869,Town of Minerva,Municipal,Landfill - land clearing debris,[16D06],Yes,584831,4850223,,,Registration,16D06,07/23/1998,,
Wait's Garage,153 Snyders Corner Rd,,Wynantskill,NY,12198-3125,Rensselaer,4,5182831432,Jeff Wait,Private,Vehicle Dismantling Facility,[R3420058],Yes,613352,4725140,,,,,,,"153 Snyders Corner Rd
Wynantskill, NY 12198-3125
(42.67331, -73.609781)"
Groff Land Clearing Debris Landfill,82 Brook Road,,Saratoga Springs,NY,12866,Saratoga,5,5185840586,Howard H. Jr & Cynthia P. Groff,Private,Landfill - land clearing debris,[46D06],Yes,595327,4770849,,Land Clearing Debris,Registration,46D06,05/09/1995,,"82 Brook Road
Saratoga Springs, NY 12866
(43.084925, -73.828561)"
Middendorf Auto Salvage,770 Spaulding Hill Road,,Owego,NY,13827,Tioga,7,6072225472,Anthony Middendorf,Private,Motor vehicle repair shop - small - registration,[54V10005],Yes,388392,4667035,,End of Life Vehicles,Registration,54V10005,11/19/2019,11/19/2024,"770 Spaulding Hill Road
Owego, NY 13827
(42.146367, -76.350283)"
Hancock Quarry,1565 Green Flats Road,,Hancock,NY,13783,Delaware,4,6076374271,Cobleskill Stone Products; Inc.,Private,C&D processing - registration,[13W04],Yes,479925,4644484,4.1 - Address Matching,Asphalt;Concrete,Registration,13W04,08/17/2017,,"1565 Green Flats Road
Hancock, NY 13783
(41.946694, -75.245774)"
Great Lakes Cheese - Haskell Road,4520 Haskell Road,,Cuba,NY,14727,Allegany,9,5859681552,Great Lakes Cheese Inc.,Private,Land application - UFPW - registration,[02A30002],Yes,229667,4676858,1 - No accuracy stated,Non-recognizable Food Processing Waste,Registration,02A30002,10/17/2018,10/17/2023,"4520 Haskell Road
Cuba, NY 14727
(42.199016, -78.27583)"
Redland Niagara,8875 Quarry Road,,Niagara Falls,NY,14304,Niagara,9,7162975876,Redland Quarries US Inc.,Private,C&D processing - registration,[32W01],Yes,177437,4782442,,Concrete,Registration,32W01,08/24/1994,,"8875 Quarry Road
Niagara Falls, NY 14304
(43.124313, -78.968412)"
TD Auto Dismantling,503 Abbotts Road,,Cuba,NY,14727,Allegany,9,5853070027,Ted Ingalls,Private,VDF - small - registration,[02V20012],Yes,224278,4684633,1 - No accuracy stated,End of Life Vehicles,Registration,02V20012,02/15/2019,02/15/2024,"503 Abbotts Road
Cuba, NY 14727
(42.264295, -78.334992)"
Ebenezer Yard Materials,1655 Union road,,West Seneca,NY,14224,Erie,9,7168225755,Ebenzer Yard Materials,Private,C&D processing - registration,[15W55],Yes,193295,4750434,4.2 - Utilization of GIS and existing spatial data,Asphalt;Metals (Ferrous);Metals (Non-Ferrous);Concrete,Registration,15W55,10/09/2012,,"1655 Union road
West Seneca, NY 14224
(42.844734, -78.75434)"
Horicon Transfer Station,19 Town Dump Road,,Brant Lake,NY,12815,Warren,5,5184943647,Town of Horicon,Municipal,RHRF - 5 tpd or less - registration,[57R10004],Yes,599967,4835803,,PET;Paperboard/Boxboard;Container Glass;Commingled Containers;Commingled Paper;Magazines;Newspaper;Other - Batteries,Registration,57R10004,11/02/2018,11/01/2023,"19 Town Dump Road
Brant Lake, NY 12815
(43.668562, -73.759803)"
J.C. Rendering; Inc.,201 Jackson Road,,Frankfort,NY,13340,Herkimer,6,3157325759,Jason Caruso,Private,Used Cooking Oil Processing,[22M04],Yes,484296,4765832,,Used Cooking Oil;Water (Waste);Food Scraps,Permit,,02/14/2017,02/28/2022,"201 Jackson Road
Frankfort, NY 13340
(43.045077, -75.193225)"
Hi-Tech Resource Recovery Inc,130 Varick Avenue,,Brooklyn,NY,11237,Kings,2,7183865750,Hi-Tech Resource Recovery Inc.,Private,C&D processing - permit,[24W73],Yes,590521,4507200,,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Paper / Cardboard;Plastics,Permit,2-6104-00012/00004,07/09/2019,05/04/2021,"130 Varick Avenue
Brooklyn, NY 11237
(40.710731, -73.928359)"
Jubilant Draxlmage Radiopharmacies; Inc.,108 Charlotte Ave.,,Hicksville,NY,11801,Nassau,1,5169337888,Jubilant DraxImage Radiopharmacies; Inc.,Private,RMW - radiological storage - registration,[30J10131],Yes,622533,4513223,4.3 - Utilization of Digital Orthophoto Quads,Radioactive,Registration,30J10131,07/20/2020,07/19/2025,"108 Charlotte Ave.
Hicksville, NY 11801
(40.760625, -73.547907)"
Pulaski TS/RHRF,100 County Route 2A,,Pulaski,NY,13142,Oswego,7,3155919200,Oswego County DPW,County,RHRF - greater than 5 tpd - registration,[38R20029],Yes,411690,4822564,,Source Separated Recyclables (Metal/Glass/Paper/Plastic),Registration,38R20029,06/14/2018,06/13/2023,"100 County Route 2A
Pulaski, NY 13142
(43.550904, -76.093384)"
Point Recycling Ltd,686 Morgan Avenue,,Brooklyn,NY,11222,Kings,2,7183846372,Nicholas Marmo,Private,C&D processing - permit,[24W92],Yes,589600,4509000,2.1 - NYSDEC 100 m grid collection,Construction & Demolition Debris;Concrete;Metals (Ferrous);Metals (Non-Ferrous);Paper / Cardboard;Plastics;Soil (Clean);Wood (Chips);Wood (Unadulterated),Permit,2-6101-00086/00003,01/29/2018,01/29/2023,"686 Morgan Avenue
Brooklyn, NY 11222
(40.727598, -73.940064)"
Niagara Metals LLC - Cheektowaga,3035 Union Rd,,Cheektowaga,NY,14227,Erie,9,7166856789,Niagara Metals; LLC,Private,Scrap metal processor - registration,[15V30056],Yes,174198,4779357,1 - No accuracy stated,Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,Registration,15V30056,06/13/2019,06/13/2024,"3035 Union Rd
Cheektowaga, NY 14227
(42.895602, -78.754367)"
Abandon Brewing Co.,2994 Merritt Hill Rd.,,Penn Yan,NY,14527,Yates,8,5857047989,Garry Sperrick,,Land application - UFPW - registration,[62A30002],Yes,327715,4721987,1 - No accuracy stated,Non-recognizable Food Processing Waste,Registration,62A30002,11/07/2017,11/06/2022,"2994 Merritt Hill Rd.
Penn Yan, NY 14527
(42.630583, -77.106116)"
U Pull It 49 Hopkins Inc,49 Hopkins St,,Buffalo,NY,14220,Erie,9,7168267278,John Previty,Private,VDF - large - registration,[15V50073],Yes,186780,4749618,1 - No accuracy stated,End of Life Vehicles,Registration,15V50073,12/10/2019,12/10/2024,"49 Hopkins St
Buffalo, NY 14220
(42.835561, -78.832459)"
Empire Recycling-Confidata,64 N. Genesee Street,,Utica (C),NY,13502,Oneida,6,3157247161,Empire Recycling Corp.,Private,Scrap metal processor - registration,[33V30004],Yes,481950,4772674,1.1 - Obtained from original submission and unverified process,Stainless Steel;Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;Lead-acid Batteries,,33V30004,03/11/2019,03/10/2024,"64 N. Genesee Street
Utica (C), NY 13502
(43.106942, -75.221809)"
J. C. Fibers Inc.,1779 Mt. Read Blvd.,,Rochester,NY,14615,Monroe,8,5853427210,J. C. Fibers Inc.,Private,RHRF - greater than 5 tpd - registration,[28R20007],Yes,283700,4785100,4.2 - Utilization of GIS and existing spatial data,Commingled Paper;Single Stream,Registration,28R20007,02/04/2019,02/03/2024,"1779 Mt. Read Blvd.
Rochester, NY 14615
(43.187516, -77.659593)"
Battle's Garage,7443 Thompson Road,,Syracuse,NY,13212,Onondaga,7,3154520253,David Battle,Private,Vehicle Dismantling Facility,[4340555],Yes,410540,4775954,4 - GIS Assisted,,,DMV #4340555,,,"7443 Thompson Road
Syracuse, NY 13212
(43.13079, -76.099785)"
Kinsella Barrett Plant,4800 Solvay Road Ext.,,Jamesville,NY,13078,Onondaga,7,3153780657,Hanson Aggregates East,Private,CDDHRF - concrete rock brick - registration,[34C10033],Yes,412430,4761773,,Brick;Concrete,Registration,34C10033,06/05/2018,06/04/2023,"4800 Solvay Road Ext.
Jamesville, NY 13078
(43.003602, -76.07451)"
North Harmony Transfer Station,Rte 394 Highway Building,,Stow,NY,14785,Chautauqua,9,7167893445,Town of North Harmony,Municipal,Transfer facility - registration,[07T10048],Yes,135420,4676594,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial),Registration,07T10048,02/15/2019,02/15/2024,
JBI Inc,20 Iroquois Street,,Niagara Falls,NY,14303,Niagara,9,7162780015,John Bordynuik,Private,Waste combustion - other WTE,[32E03],Yes,173130,4777466,4.2 - Utilization of GIS and existing spatial data,Commingled Plastics,Permit,9-2911-00348/00003,07/30/2014,07/29/2019,"20 Iroquois Street
Niagara Falls, NY 14303
(43.079137, -79.014663)"
